freqmine,1653383532.7804124,update,1-2-3
canneal,1653383532.8365042,update,2-3
freqmine,1653383552.2391112,update,2-3
canneal,1653383552.275502,update,2
fft,1653383562.5111809,unpause,
freqmine,1653383562.5649054,update,1-2-3
canneal,1653383562.610513,update,2-3
fft,1653383572.375582,pause,
freqmine,1653383572.951435,update,2-3
canneal,1653383572.9913294,update,2
fft,1653383592.4145257,unpause,
freqmine,1653383592.472564,update,1-2-3
canneal,1653383592.5328236,update,2-3
fft,1653383622.7750533,pause,
freqmine,1653383622.8627367,update,2-3
canneal,1653383622.9033902,update,2
freqmine,1653383632.648338,update,1-2-3
canneal,1653383632.7085276,update,2-3
fft,1653383642.471298,unpause,
fft,1653383649.2775376,pause,
fft,1653383649.8255882,unpause,
fft,1653383650.342592,exit,
freqmine,1653383652.9267082,update,2-3
canneal,1653383652.9713228,update,2
freqmine,1653383672.2865658,update,1-2-3
canneal,1653383672.3256748,update,2-3
freqmine,1653383682.5530512,update,2-3
canneal,1653383682.5993128,update,2
freqmine,1653383692.8204916,update,1-2-3
canneal,1653383692.9174874,update,2-3
freqmine,1653383702.5911586,update,2-3
canneal,1653383702.651667,update,2
freqmine,1653383712.3568444,update,1-2-3
canneal,1653383712.405024,update,2-3
freqmine,1653383722.5899372,update,2-3
canneal,1653383722.626543,update,2
freqmine,1653383743.48643,update,1-2-3
canneal,1653383743.5329037,update,2-3
freqmine,1653383762.4359853,update,2-3
canneal,1653383762.4912126,update,2
freqmine,1653383772.7225869,update,1-2-3
canneal,1653383772.7765548,update,2-3
freqmine,1653383782.509359,update,2-3
canneal,1653383782.548857,update,2
freqmine,1653383792.7682495,update,1-2-3
canneal,1653383792.826479,update,2-3
freqmine,1653383802.5193546,update,2-3
canneal,1653383802.55943,update,2
freqmine,1653383862.456668,update,1-2-3
canneal,1653383862.5086622,update,2-3
canneal,1653383876.2207105,exit,
freqmine,1653383902.5232694,update,2-3
freqmine,1653383922.2564924,update,1-2-3
freqmine,1653383936.882205,exit,
blackscholes,1653383937.156299,start,
dedup,1653383937.433089,start,
blackscholes,1653383937.4799886,update,2-3
blackscholes,1653383946.6586363,update,1-2-3
blackscholes,1653383962.5510058,update,2-3
blackscholes,1653383972.2462556,update,1-2-3
blackscholes,1653383992.078792,update,2-3
blackscholes,1653384002.3033438,update,1-2-3
dedup,1653384034.6871226,exit,
blackscholes,1653384062.4943871,update,2-3
blackscholes,1653384082.2204614,update,1-2-3
blackscholes,1653384102.6550124,update,2-3
blackscholes,1653384120.3572707,exit,
