ubuntu@client-measure-38j0:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.44 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (93033, 83338, 73337, 48277, 8810, 6621, 79850, 63136, 78326, 95470, 90283, 35231, 26411, 84688, 58242, 93555, 16981, 56139, 96592, 33151, 18440, 77805, 78472, 76224, 16651, 22303, 9362, 80676, 78310, 28075, 26415, 59963, 53656, 75984, 74978, 71271, 98709, 95580, 46280, 86952, 94862, 39777, 39023, 7531, 81175, 99083, 8223, 31855, 86511, 7455, 46844, 54542, 51870, 78139, 85169, 66556, 75547, 41490, 39790, 64403, 89849, 57398, 77252, 9490, 41079, 75531, 57920, 7212, 39161, 40641, 33929, 89109, 52208, 53358, 93933, 92382, 65408, 75191, 44037, 14272, 39826, 17699, 60691, 22278, 76403, 76170, 63917, 99833, 78791, 27333, 8529, 35334, 46811, 84440, 64800, 19369, 13281, 12260, 46783, 82008, 38136, 6565, 87407, 54487, 66256, 73579, 23629, 67733, 97656, 66502, 21517, 17103, 20652, 96810, 88816, 80558, 88952, 76411, 32634, 78647, 72742, 14576, 22504, 69897, 83514, 73036, 19473, 54572, 77156, 99621, 30063, 94128, 46033, 15324, 44734, 39572, 14842, 20629, 95625, 33481, 54887, 41304, 47541, 98244, 67616, 31298, 37651, 26110, 56017, 35809, 44588, 53954, 51549, 89191, 14770, 53596, 14673, 38491, 89969, 68028, 32055, 37193, 28379, 94935, 22842, 45661, 36908, 85438, 27437, 42518, 33624, 95444, 37788, 47233, 41812, 38280, 54616, 49483, 53270, 36048)
Average QPS expected = 54139
Timestamp start: 1652880407576
Timestamp end: 1652882207993

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      464.6   473.5    93.8   168.9   191.0   350.5   467.7   543.2   593.6   662.3   778.0  1227.9  1803.6  5434.0 13949.4  38996.4    39023
read      440.6   832.1   109.4   188.8   216.9   384.0   438.6   465.3   484.2   504.5   534.7   590.3  2122.7 10922.7 32418.4   7570.9     7531
read      503.4   443.6    93.8   192.4   219.4   386.4   489.2   556.3   618.5   713.2   889.9  1262.9  2183.2  3679.3 11782.4  81196.6    81175
read      719.9   426.9    93.8   203.9   255.3   691.5   830.6   911.7   974.8  1053.6  1162.2  1343.3  1746.1  2908.2 13448.6  99172.8    99083
read      443.0   936.7    93.8   180.0   206.9   385.0   451.0   481.5   503.1   527.6   556.4   625.6  1315.2 15656.0 32035.4   8260.6     8223
read      467.4   425.1    93.8   168.0   190.6   364.5   486.8   557.4   610.7   681.3   825.5  1203.3  1645.5  3423.9 14385.9  31910.9    31855
read      554.0   412.5    93.8   202.2   232.2   448.4   584.4   677.4   753.2   852.1   993.2  1244.6  1968.0  3262.4 11807.9  86560.9    86511
read      430.1   818.0   109.4   187.1   214.9   376.1   432.8   459.0   476.9   500.1   528.6   575.6  1404.5 12968.4 32091.4   7437.1     7455
read      459.5   450.5    93.8   168.8   191.2   348.0   452.5   520.8   569.2   635.1   749.8  1248.2  1991.3  3966.4 13394.4  46810.7    46844
read      448.7   457.9    93.8   169.9   192.1   337.4   430.3   496.3   544.9   608.3   720.9  1203.9  2087.6  4022.5 13016.1  54640.8    54542
read      447.3   440.9    93.8   168.7   191.1   338.6   436.9   505.8   553.7   617.9   729.1  1176.6  1994.6  3857.5 12919.9  51933.2    51870
read      463.4   403.0    93.8   186.5   212.1   366.4   457.8   517.8   566.0   635.3   762.8  1100.8  2028.2  3362.7 10854.3  78072.5    78139
read      535.1   397.6    93.8   198.7   229.4   439.4   560.2   643.0   715.9   811.8   950.0  1186.2  1848.5  3117.0 10675.7  85148.1    85169
read      444.9   479.7    93.8   171.5   194.8   338.4   426.1   486.1   532.7   591.6   698.5  1115.7  2169.4  3830.3 14807.2  66541.1    66556
read      460.1   442.1    93.8   186.3   211.4   364.2   455.7   515.5   563.7   633.7   760.3  1084.5  1921.1  3484.0 13420.1  75654.8    75547
read      456.2   434.6    93.8   174.1   197.8   359.4   471.7   544.0   589.6   652.3   743.6  1103.3  1678.7  4390.3 14809.4  41458.2    41490
read      446.3   348.1    93.8   172.4   195.5   359.8   477.5   544.7   587.8   644.2   727.5  1054.1  1644.5  2268.0  9160.4  39841.8    39790
read      434.2   354.2    86.8   176.1   200.5   349.5   441.7   500.5   544.2   600.1   690.2   958.8  1890.9  2916.8  9651.4  64296.9    64403
read      500.8   364.6    93.8   207.3   236.7   421.7   520.2   584.4   637.6   716.3   842.3  1071.8  1719.8  3038.5 10782.0  89746.8    89849
read      437.8   387.7    93.8   173.2   196.2   344.8   441.0   503.1   547.8   602.8   690.1  1007.9  1967.4  2964.8 11753.4  57464.3    57398
read      432.8   353.8    93.8   184.9   210.0   356.1   440.4   493.6   535.8   589.5   675.6   932.3  1764.3  2974.7 10807.8  77206.5    77252
read      426.2   518.1   109.4   189.6   217.7   411.2   476.0   502.2   521.6   543.6   571.3   612.7   810.7  6381.6 26803.6   9616.0     9490
read      470.2   407.6    93.8   171.7   194.4   366.2   478.9   546.6   592.2   660.6   786.7  1254.9  1888.7  2624.7 10316.7  40990.9    41079
read      469.0   420.1    93.8   187.7   212.8   366.4   457.4   516.3   564.3   631.9   764.5  1167.2  2110.6  3429.3 12171.5  75448.5    75531
read      445.2   411.7    86.8   175.4   199.2   349.2   444.0   505.9   552.6   611.1   705.7  1037.4  1990.8  3984.5 11415.0  57842.5    57920
read      407.3   535.8   101.3   196.2   223.3   388.2   438.7   461.9   477.8   496.5   520.2   562.6   827.9  7923.7 29843.2   7243.7     7212
read      466.5   394.7    93.8   172.8   195.7   366.1   482.1   549.5   595.7   658.6   770.7  1213.5  1788.5  3792.6  9876.5  38957.4    39161
read      466.7   426.3    93.8   167.6   188.5   336.2   453.1   533.9   588.0   666.4   867.7  1370.7  1899.8  3432.0 10193.5  40626.8    40641
read      468.2   410.8    93.8   166.6   186.6   341.8   466.8   553.9   609.1   692.8   930.1  1318.6  1719.6  3431.8 10158.1  33874.7    33929
read      666.5   413.2    93.8   212.7   259.0   604.1   760.7   851.6   920.7  1008.2  1127.7  1328.3  1795.2  2947.7 11262.5  89077.4    89109
read      458.4   495.8    93.8   167.4   187.7   319.4   417.5   488.3   546.3   618.5   794.1  1410.9  2205.2  3246.7 14377.2  52244.7    52208
