canneal,1653386061.5887132,update,2-3
freqmine,1653386081.0006607,update,2-3
canneal,1653386081.0482216,update,2
freqmine,1653386091.824803,update,1-2-3
canneal,1653386091.877214,update,2-3
freqmine,1653386101.0708354,update,2-3
canneal,1653386101.1239698,update,2
freqmine,1653386111.4108717,update,1-2-3
canneal,1653386111.453117,update,2-3
freqmine,1653386121.1596892,update,2-3
canneal,1653386121.2032235,update,2
freqmine,1653386181.2685874,update,1-2-3
canneal,1653386181.308908,update,2-3
canneal,1653386195.5131495,exit,
freqmine,1653386222.3230927,update,2-3
freqmine,1653386241.0603194,update,1-2-3
freqmine,1653386277.544012,exit,
blackscholes,1653386277.7914677,start,
dedup,1653386278.050817,start,
blackscholes,1653386278.0940893,update,1-2-3
blackscholes,1653386281.1812878,update,2-3
blackscholes,1653386291.4105735,update,1-2-3
blackscholes,1653386312.5511007,update,2-3
blackscholes,1653386321.2963848,update,1-2-3
blackscholes,1653386381.2072349,update,2-3
dedup,1653386384.3419316,exit,
blackscholes,1653386401.0567975,update,1-2-3
blackscholes,1653386421.3394136,update,2-3
blackscholes,1653386431.5206451,update,1-2-3
blackscholes,1653386464.9548821,exit,
